details,prix,adresse,img_link,source,page
Lapins métis californiens,10 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5198096_uploaded_image1_1740225080.jpg,"Poules, Lapins et Pigeons",1
Lapin Californien,120 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5189123_uploaded_image1_1739781768.jpg,"Poules, Lapins et Pigeons",1
Pigeon voyageur,5 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5180652_uploaded_image1_1739276152.jpg,"Poules, Lapins et Pigeons",1
Poussin herminé,10 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5179009_uploaded_image1_1739192841.jpg,"Poules, Lapins et Pigeons",1
Femelle brahma caillouté,55 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5159050_uploaded_image1_1738156403.jpg,"Poules, Lapins et Pigeons",1
Femelle brahma caillouté,55 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5159019_uploaded_image1_1738155613.jpg,"Poules, Lapins et Pigeons",1
Femelle Barmane,35 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5124363_uploaded_image1_1736298689.jpg,"Poules, Lapins et Pigeons",1
Pigeon Mondain,150 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121788_uploaded_image1_1736179154.jpg,"Poules, Lapins et Pigeons",1
Mâle Brahma,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5121430_uploaded_image1_1736164839.jpg,"Poules, Lapins et Pigeons",1
Lapin,12 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5119498_uploaded_image1_1736025924.jpg,"Poules, Lapins et Pigeons",1
Lapin,12 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5119494_uploaded_image1_1736025705.jpg,"Poules, Lapins et Pigeons",1
Poussin Herminé,36 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5107651_uploaded_image1_1735215733.jpg,"Poules, Lapins et Pigeons",1
Poussins,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5104370_uploaded_image1_1734964382.jpg,"Poules, Lapins et Pigeons",1
Couple lahore lavande,30 000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5088564_uploaded_image1_1734010113.jpg,"Poules, Lapins et Pigeons",1
Pigeon Mondain,200 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5085521_uploaded_image1_1733851166.jpg,"Poules, Lapins et Pigeons",1
Poussin brahman,25 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5080703_uploaded_image1_1733571477.jpg,"Poules, Lapins et Pigeons",1
Mondain noir,150 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5078519_uploaded_image1_1733444790.jpg,"Poules, Lapins et Pigeons",1
