web-scraper-order,web-scraper-start-url,treyrey,treyrey-href,nom,prix,adresse,image_lien-src
"1739756610-1","https://sn.coinafrique.com/categorie/autres-animaux","Chaton","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4689687","","Prix sur demande","Ngor, Dakar, Sénégal",""
"1739756644-2","https://sn.coinafrique.com/categorie/autres-animaux","Perruche","https://sn.coinafrique.com/annonce/autres-animaux/perruche-4701230","Paire de perruches ondulées","40 000 CFA","Mamelles, Dakar, Sénégal",""
"1739756677-3","https://sn.coinafrique.com/categorie/autres-animaux","Cailles","https://sn.coinafrique.com/annonce/autres-animaux/cailles-4701407","","7 000 CFA","Touba, Sénégal",""
"1739756706-4","https://sn.coinafrique.com/categorie/autres-animaux","Hamster","https://sn.coinafrique.com/annonce/autres-animaux/hamster-4723216","","5 000 CFA","Almadies, Dakar, Sénégal",""
"1739756742-5","https://sn.coinafrique.com/categorie/autres-animaux","Chat Siamois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4723220","","300 000 CFA","Almadies, Dakar, Sénégal",""
"1739756773-6","https://sn.coinafrique.com/categorie/autres-animaux","Perroquet inséparable","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-inseparable-4724298","","60 000 CFA","Point E, Dakar, Sénégal",""
"1739756804-7","https://sn.coinafrique.com/categorie/autres-animaux","Paon bleu","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-4686441","","","",""
"1739756839-8","https://sn.coinafrique.com/categorie/autres-animaux","3 chatons","https://sn.coinafrique.com/annonce/autres-animaux/3-chatons-4751663","","Prix sur demande","Mariste, Dakar, Sénégal",""
"1739756878-9","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4752043","","600 000 CFA","Bambey, Sénégal",""
"1739756933-10","https://sn.coinafrique.com/categorie/autres-animaux","Vache  Montbéliard Holstein","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-holstein-4753933","","Prix sur demande","Pikine, Sénégal",""
"1739756976-11","https://sn.coinafrique.com/categorie/autres-animaux","Vache Montbéliard et Holstein","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-et-holstein-4753935","","Prix sur demande","Pikine, Sénégal",""
