web-scraper-order,web-scraper-start-url,qwerty,qwerty-href,details,prix,adresse,images-src
"1740007704-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border11mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-4653298","Salam les amis éleveurs je mets à votre disposition de jolis couples mondains jeunes et adulte standard issu d'une production de souches importées allant du bleu à lopal .veuillez me confiez vos désirs je saurais les satisfaires inshaa allah!","200 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4653298_uploaded_image1_1711039158.jpg"
"1740007830-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border11mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-4653331","Salut
je vends de jolis couple de pigeon de la race texan","80 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4434579_uploaded_image1_1698581736.jpg"
"1740007869-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4662585","Salam la famille ,
aujourd'hui je vous présente mes pigeons de chairs issus de plusieurs années de sélections 
les critères recherchés étaient : une masse pondérale assez importante, de bon parents, une croissance rapide , et une bonne résistance au maladie.
après un travail de longue date je vous propose des sujets prêtent pour vos projets de production de viande de pigeon bio de qualité mais aussi de bon nourriciers au cas où vous possédez d'autres races. veuillez bien me contacter pour plus dinfo merci!","50 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4662603_uploaded_image1_1711547811.jpg"
"1740007908-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4662603","Salam la famille je suis ici pour vous proposez de jolis couples de voyageurs compétiteurs et de couleurs , adultes et jeunes","10 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4406776_uploaded_image1_1696680924.jpg"
"1740008332-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4667518","","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_3404905_uploaded_image1_1635261146.jpg"
"1740008512-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-voyageur-4690857","","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3544759_uploaded_image1_1643532462.jpg"
"1740008671-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-4703012","","13 500 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg"
"1740008850-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-4714367","Bonjour je vend une paire de lapin angora pure sang a un prix tres abordable","20 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_4296184_uploaded_image1_1689472721.jpg"
"1740009010-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/volaille-4724548","Nous proposons des pigeons de race soigneusement élevés et en excellente santé. chaque paire de pigeons est sélectionnée avec soin pour garantir des caractéristiques de race authentiques et une bonne condition physique. nos pigeons sont nourris avec une alimentation de qualité supérieure et bénéficient d’un environnement propre et spacieux.le prix est disponible sur demande. si vous êtes intéressé(e), n’hésitez pas à nous contacter pour obtenir plus d’informations sur les tarifs.","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3658331_uploaded_image1_1650244788.jpg"
"1740009153-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-4729764","","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4729764_uploaded_image1_1715037972.jpg"
"1740009187-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-4738369","Je vends des brahman orpington, métisse brahmane,-bleue hollandaise","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_3101043_uploaded_image1_1620309572.jpg"
"1740009230-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4696598","Délectez-vous de la qualité supérieure avec notre sélection de poulets de chair premium. élevés avec soin et nourris de manière naturelle, nos poulets offrent une tendresse inégalée et une saveur exquise à chaque bouchée. que ce soit pour un repas en famille ou une soirée entre amis, nos poulets sont la garantie d'un festin mémorable. savourez l'excellence à chaque plat et découvrez une nouvelle dimension de plaisir culinaire. commandez dès maintenant et faites l'expérience du goût authentique à son meilleur !","1 500 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4555523_uploaded_image1_1705793143.jpg"
"1740009400-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border8mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-4767951","Produit de bon qualité","2 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4509252_uploaded_image1_1703175319.jpg"
"1740009450-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border8mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-race-4787594","À la recherche des meilleures poules de race(herminé,cochin bleu,) au sénégal ? ???? découvrez nos poules exceptionnelles, connues pour leur haute production d'œufs et leur résistance aux maladies. ???? ???? profitez de 10% de réduction avec le code promopoules10 sur votre première commande ! ???? contactez-nous dès maintenant","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3154953_uploaded_image2_1622902343.jpeg"
